uniprot_id,signal_id,start_pos,end_pos,signal_type
O00206,O00206_1,631,655,TM
Q86W56,Q86W56_0,9,15,NLS
Q9BWC9,Q9BWC9_0,150,163,NLS
Q92560,Q92560_0,716,721,NLS
P01730,P01730_0,0,24,SP
P01730,P01730_1,398,419,TM
P23508,P23508_0,765,781,NLS
Q9UBP0,Q9UBP0_0,3,10,NLS
Q9UBP0,Q9UBP0_1,58,66,NES
Q9Y3M2,Q9Y3M2_0,20,28,NES
Q969P5,Q969P5_0,61,66,NLS
Q969P5,Q969P5_1,279,294,NLS
Q6UB99,Q6UB99_0,2414,2423,NES
Q9BZS1,Q9BZS1_0,67,75,NES
Q9BZS1,Q9BZS1_1,238,247,NES
P09211,P09211_0,194,207,NLS
Q9UK80,Q9UK80_0,134,151,NES
O95478,O95478_0,0,51,NLS
O95478,O95478_1,130,153,NLS
O14746,O14746_0,830,1131,NES
Q9UQV4,Q9UQV4_0,0,26,SP
Q9UQV4,Q9UQV4_1,387,402,TM
O94916,O94916_0,0,18,NES
P40238,P40238_0,0,24,SP
P40238,P40238_1,491,512,TM
Q6YHK3,Q6YHK3_0,1367,1444,GPI
P16284,P16284_0,0,26,SP
P16284,P16284_1,602,624,TM
P07766,P07766_0,0,21,SP
P07766,P07766_1,129,148,TM
P28039,P28039_0,0,22,SP
Q0VD86,Q0VD86_0,89,94,NLS
Q9NZQ7,Q9NZQ7_0,0,17,SP
Q9NZQ7,Q9NZQ7_1,239,258,TM
O75144,O75144_0,0,17,SP
O75144,O75144_1,253,276,TM
P30101,P30101_0,0,23,SP
Q92854,Q92854_0,0,20,SP
Q92854,Q92854_1,734,755,TM
P55145,P55145_0,0,23,SP
P28908,P28908_0,0,17,SP
P28908,P28908_1,386,406,TM
O60883,O60883_0,0,24,SP
O60883,O60883_1,131,154,TM
P06729,P06729_0,0,23,SP
P06729,P06729_1,211,232,TM
P49755,P49755_0,0,30,SP
P49755,P49755_1,185,204,TM
Q92833,Q92833_0,103,109,NLS
Q9UDY8,Q9UDY8_0,368,375,NES
Q9UDY8,Q9UDY8_1,473,479,NES
P35367,P35367_0,29,49,TM
Q9NUL5,Q9NUL5_0,120,136,NLS
Q9NUL5,Q9NUL5_1,260,268,NES
Q5VUB5,Q5VUB5_0,0,20,SP
Q5VUB5,Q5VUB5_1,303,327,TM
P61769,P61769_0,0,19,SP
Q5TAQ9,Q5TAQ9_0,38,49,NES
Q5TAQ9,Q5TAQ9_1,113,121,NLS
Q9H9S0,Q9H9S0_0,124,133,NES
Q9ULX6,Q9ULX6_0,279,295,NES
P09603,P09603_0,0,31,SP
P09603,P09603_1,496,517,TM
Q99519,Q99519_0,0,46,SP
P55084,P55084_0,0,32,MT
Q14980,Q14980_0,1983,1988,NLS
P03372,P03372_0,443,455,NES
P33316,P33316_0,0,68,MT
O75475,O75475_0,145,155,NLS
P13473,P13473_0,0,27,SP
Q9UBE0,Q9UBE0_0,191,209,NLS
Q8IZP9,Q8IZP9_0,0,36,SP
Q8IZP9,Q8IZP9_1,629,652,TM
Q9UMY1,Q9UMY1_0,0,9,NLS
Q9UMY1,Q9UMY1_1,94,111,NLS
Q9UMY1,Q9UMY1_2,241,256,NLS
P32004,P32004_0,0,18,SP
Q6UWI2,Q6UWI2_0,0,19,SP
Q6UWI2,Q6UWI2_1,258,279,TM
Q9HCC0,Q9HCC0_0,0,21,MT
Q16740,Q16740_0,0,55,MT
Q08722,Q08722_0,0,17,SP
Q08722,Q08722_1,141,162,TM
P16444,P16444_0,0,15,SP
P16444,P16444_1,333,410,GPI
Q96F05,Q96F05_0,0,19,SP
Q96F05,Q96F05_1,400,421,TM
Q9NVH6,Q9NVH6_0,0,14,MT
P07602,P07602_0,0,15,SP
Q9Y2I2,Q9Y2I2_0,0,27,SP
Q9Y2I2,Q9Y2I2_1,461,538,GPI
Q9HC62,Q9HC62_0,316,331,NES
